id,location,route,location_lat,location_lng
1,Aue,"['Wildenthal', 'Karlsbad']",50.585277777778 50.4508 50.230555555556,12.700833333333 12.6361 12.8725
2,Bautzen,"['Neukirch', 'Steinigtwolmsdorf', 'Neudörfel', 'Wölmsdorf', 'Nixdorf']",51.181388888889 51.09727 51.066666666667 51.0089 50.990616555873 50.965147575772,14.423888888889 14.30789 14.35 14.2839 14.335432343878 14.36380182721
3,Böhlen,[],51.2025,12.385833333333
4,Brandhofen,"['Milstrich', 'Schiedel', 'Zschornau', 'Deutschbaselitz', 'Kamenz', 'Bischofswerda', 'Radeberg', 'Fischbach']",51.404722222222 51.325 51.31359 51.302863 51.2833 51.266666666667 51.1275 51.116666666667 51.0847,14.268055555556 14.159722222222 14.13976 14.124254 14.1333 14.1 14.179722222222 13.916666666667 14.0181
5,Chemnitz,"['Hilbersdorf', 'Leitmeritz', 'Hertine']",50.833333333333 50.8597 50.53355947692 50.603609611728,12.916666666667 12.9531 14.131899491403 13.908807053015
6,Colditz,"['Hausdorf', 'Gersdorf', 'Hartha', 'Waldheim', 'Massanei', 'Reichenbach', 'Etzdorf', 'Nossen', 'zellwald', 'Siebenlehn', 'Kleinvoigtsberg', 'Halsbrücke', 'Conradsdorf', 'Naundorf', 'Nieder-/Oberbobritzsch', 'Kleinbobritzsch', 'Reichenau', 'Rehefeld-Zaunhaus', 'Teplitz-Schönau', 'Welemin', 'Leitmeritz']",51.116666666667 51.11730194 51.11506 51.10195 51.066666666667 51.06497350435683 51.0463 51.05055618 51.05 51.0153 51.031944444444 50.998588 50.95 50.947222222222 50.935 50.899444444444 50.817183333333 50.7931 50.730555555556 50.633333333333 50.539069448334 50.53355947692,12.816666666667 12.83562088 12.93919 12.9493 13.016666666667 13.052825000727154 13.0899 13.17972183 13.3 13.2652 13.308333333333 13.306545 13.349722222222 13.373055555556 13.4206 13.433333333333 13.539761111111 13.575 13.7 13.816666666667 13.976850401439 14.131899491403
7,Bernsdorf/Oberlausitz,"['Pirna', 'Zwodau', 'flossenbürg','Neurohlau', 'Alt-Sedlitz']",51.366666666667 50.962222222222 50.192347393565 49.735698 50.271030375945 49.744451332948,14.066666666667 13.940277777778 12.625320911756 12.3569 12.784301710647 12.694192915077
8,Bernsdorf/Oberlausitz,"['Bad Schandau', 'Tetschen', 'Aussig', 'Theresienstadt']",51.366666666667 50.916666666667 50.773611111111 50.659166666667 50.510278,14.066666666667 14.15 14.196111111111 14.041666666667 14.149722
9,Riesaer Straße,"['Pirna', 'Königstein', 'Peterswald', 'Aussig', 'Leitmeritz']",51.080664 50.962222222222 50.918888888889 50.789108789384 50.659166666667 50.53355947692,13.728153 13.940277777778 14.071388888889 13.976253100741 14.041666666667 14.131899491403
10,Emerich-Ambros-Ufer,['flossenbürg'],51.0527 49.735698,13.6982 12.3569
11,Emerich-Ambros-Ufer,"['Leitmeritz', 'Theresienstadt']",51.0527 50.53355947692 50.510278,13.6982 14.131899491403 14.149722
12,Mügelner Straße,"['Pirna', 'Königstein', 'Bielatal', 'Hellendorf Fichtenbaude', 'Peterswald']",51.011918 50.962222222222 50.918888888889 50.866666666667 50.8307 50.789108789384,13.804185 13.940277777778 14.071388888889 14.05 13.9741 13.976253100741
13,Florastraße,"['Mockethal-Zatschke', 'Leitmeritz']",51.04798 50.98282918398965 50.53355947692,13.71663 13.952200361676805 14.131899491403
14,Döbelner Straße,"['Carola Bridge', 'Dippoldiswalde', 'Schmiedeberg/D.', 'Schönfeld/D.', 'Rehefeld']",51.093317 51.0539 50.893333333333 50.8375 50.7842 50.7305,13.729059 13.7472 13.666666666667 13.675277777778 13.6439 13.7025
15,Elsnig,['Ravensbrück'],51.610833333333 53.1929,12.927777777778 13.1621
16,flöha,"['Heinzebank', 'Gelobtland', 'Reitzenhain', 'Kaaden', 'Groß Werscheditz', 'Saatz', 'Leitmeritz', 'Theresienstadt']",50.855833333333 50.680555555556 50.625863 50.5611 50.37608553522 50.095833333333 50.095833333333 50.53355947692 50.510278,13.071388888889 13.12 13.177621 13.2194 13.271397346217 13.133888888889 13.133888888889 14.131899491403 14.149722
17,flößberg,"['Chemnitz', 'Aue', 'Schwarzenberg', 'Annaberg/Erzgeb.', 'Weipert', 'Komotau', 'Falkenau an der Eger', 'Pladen', 'Ober Birken', 'Taus', 'Bieschin', 'Gusen']",51.1281 50.833333333333 50.585277777778 50.545277777778 50.58015 50.492422906068 50.462777777778 50.181415762132 50.097018757911 49.840223429507 49.440605680467 49.3044 48.25701,12.5825 12.916666666667 12.700833333333 12.779166666667 13.00231 13.032216898187 13.411111111111 12.640181474439 13.389770943654 13.355637956593 12.929798039263 13.3036 14.464133
18,Freiberg,"['Dresden', 'Brüx', 'Triebschitz bei Brüx', 'Komotau', 'Pladen', 'Ober Birken', 'Pilsen', 'Tachau', 'Haid', 'Taus', 'Budweis', 'Mauthausen']",50.911944444444 51.05 50.503055555556 50.5203 50.462777777778 50.097018757911 49.840223429507 49.741388888889 49.795398066933 49.711710233 49.440605680467 48.974722222222 48.258888888889,13.342777777778 13.74 13.636666666667 13.5797 13.411111111111 13.389770943654 13.355637956593 13.3825 12.633709213451 12.775216037 12.929798039263 14.474722222222 14.501111111111
19,Görlitz,"['Kunnerwitz', 'Friedersdorf/G.', 'Deutsch Paulsdorf', 'Sohland am Rotstein', 'KZ-Außenlager Rennersdorf']",51.152777777778 51.116666666667 51.096 51.1 51.116666666667 51.0172,14.987222222222 14.933333333333 14.869 14.83 14.783055555556 14.7893
20,Gröditz,"['Radebeul', 'Leitmeritz', 'Theresienstadt']",51.414166666667 51.103333333333 50.53355947692 50.510278,13.446388888889 13.67 14.131899491403 14.149722
21,Hainichen,"['Freiberg', 'Leitmeritz', 'Theresienstadt']",50.969454 50.911944444444 50.53355947692 50.510278,13.122099 13.342777777778 14.131899491403 14.149722
22,Hohenstein-Ernstthal,"['Grüna', 'Reichenbrand', 'Luditz']",50.8 50.8125 50.8125 50.092025120002,12.716666666667 12.7944 12.8278 13.163044267861
23,Johanngeorgenstadt,"['Neurohlau', 'Leitmeritz', 'Theresienstadt']",50.433333333333 50.271030375945 50.53355947692 50.510278,12.713888888889 12.784301710647 14.131899491403 14.149722
24,Kamenz,"['Wiesa', 'Elstra', 'Bischofswerda', 'Ebersbach/Oberlausitz', 'Zittau', 'Prag', 'Budweis', 'Mauthausen', 'Dachau']",51.266666666667 51.2558 51.220555555556 51.1275 51.008333333333 50.896111111111 50.083333333333 48.974722222222 48.258888888889 48.2699,14.1 14.1183 14.130555555556 14.179722222222 14.585277777778 14.807222222222 14.416666666667 14.474722222222 14.501111111111 11.4683
25,Königstein,"['Bad Schandau', 'Aussig', 'Leitmeritz']",50.918888888889 50.916666666667 50.659166666667 50.53355947692,14.071388888889 14.15 14.041666666667 14.131899491403
26,Leipzig Mitte,"['Leipzig-Abtnaundorf/Heiterblick', 'Taucha', 'Bennewitz', 'Wurzen', 'Oschatz', 'Sieglitz', 'Merschwitz', 'Glaubitz', 'Riesa', 'Dahlen', 'Meltewitz', 'Luppa', 'Mügeln', 'Bahnhof Gärtitz', 'Niederstriegis', 'Freiberg', 'Hilbersdorf', 'Oberbobritzsch', 'Hermsdorf/Erzgebirge', 'Hennersdorf', 'Sadisdorf', 'Altenberg', 'Geising', 'fürstenau']",51.34 51.3706 51.38 51.359722222222 51.366666666667 51.300277777778 51.1695 51.2647 51.316666666667 51.308055555556 51.366666666667 51.3625 51.3342 51.233333333333 51.1428988 51.083611111111 50.911944444444 50.8597 50.8625 50.761111111111 50.8247 50.845469444444 50.764444444444 50.758055555556 50.7375,12.375 12.4179 12.493611111111 12.711388888889 12.716666666667 13.107222222222 13.4192 13.4075 13.383333333333 13.293888888889 13 12.908888888888889 12.9586 13.05 13.1193907 13.149444444444 13.342777777778 12.9531 13.463055555556 13.629722222222 13.6253 13.635691666667 13.757777777778 13.791111111111 13.8319
27,Leipzig-Schönefeld,"['Wurzen', 'Oschatz', 'Merschwitz', 'Glaubitz', 'Riesa', 'Oschatz', 'Döbeln Stadt', 'Nossen', 'Goßberg']",51.3597 51.366666666667 51.300277777778 51.2647 51.316666666667 51.308055555556 51.300277777778 51.119444444444 51.05 50.98944444,12.4104 12.716666666667 13.107222222222 13.4075 13.383333333333 13.293888888889 13.107222222222 13.112777777778 13.3 13.20388889
28,Leipzig-Schönefeld,['Leipzig-Abtnaundorf/Heiterblick'],51.3597 51.3706,12.4104 12.4179
29,Leipzig-Engelsdorf,[],51.3382,12.4799
30,Leipzig-Schönau,"['Bennewitz', 'Wurzen', 'Oschatz', 'Wurzen']",51.299999 51.359722222222 51.366666666667 51.300277777778 51.366666666667,12.333299 12.711388888889 12.716666666667 13.107222222222 12.716666666667
31,Lengenfeld,"['Schönheide', 'Eibenstock', 'Wildenthal', 'Johanngeorgenstadt', 'Karlsbad', 'Tachau']",50.566666666667 50.5 50.495555555556 50.4508 50.433333333333 50.230555555556 49.795398066933,12.366666666667 12.5333 12.5975 12.6361 12.713888888889 12.8725 12.633709213451
32,Markkleeberg,"['Bennewitz', 'Wurzen', 'Oschatz', 'Staudnitz', 'Meissen', 'Niederau', 'Ockerwitz', 'Pesterwitz', 'Freital', 'Dippoldiswalde', 'Tharandt', 'Höckendorf', 'Ruppendorf', 'Reinholdshain/D.', 'Niederfrauendorf', 'Theresienstadt']",51.275555 51.359722222222 51.366666666667 51.300277777778 51.2721 51.163611111111 51.175555555556 51.056 51.0281 51.016666666667 50.893333333333 50.983333333333 50.92518 50.907222222222 50.8976 50.879461111111 50.510278,12.369166 12.711388888889 12.716666666667 13.107222222222 12.6375 13.4775 13.5425 13.6417 13.6539 13.65 13.666666666667 13.580833333333 13.58913 13.601944444444 13.7003 13.722611111111 14.149722
33,Mehltheuer,[],48.283298,12.833299
34,Neuhirschstein,[],51.2518,13.4003
35,Mittweida,"['Hainichen', 'Freiberg', 'Leitmeritz']",50.985555555556 50.969454 50.911944444444 50.53355947692,12.981111111111 13.122099 13.342777777778 14.131899491403
36,Mockethal-Zatschke,['Leitmeritz'],50.98282918398965 50.53355947692,13.952200361676805 14.131899491403
37,Mülsen St. Micheln,"['Ortmannsdorf', 'Niederschlema', 'Burkhardtsgrün', 'Blauenthal', 'Wolfsgrün', 'Leitmeritz']",50.75 50.70498 50.6160610 50.5333 50.514166666667 50.518611111111 50.53355947692,12.566699 12.61663 12.6809977 12.6222 12.625555555556 12.613888888889 14.131899491403
38,Niederoderwitz,"['Zittau', 'Warnsdorf', 'Tetschen', 'Aussig', 'Leitmeritz']",50.958888888889 50.896111111111 50.911612411446 50.773611111111 50.659166666667 50.53355947692,14.718611111111 14.807222222222 14.618353683386 14.196111111111 14.041666666667 14.131899491403
39,Niesky,"['Klitten', 'Uhyst', 'Groß Särchen', 'Wittichenau', 'Brandhofen']",51.289722222222 51.35 51.365282 51.366666666667 51.38496 51.404722222222,14.83 14.599722222222 14.509566 14.305555555556 14.24403 14.268055555556
40,Nossen,['Krummenhennersdorf'],51.05 50.979166666667,13.3 13.3625
41,Oederan,['Theresienstadt'],50.861666666667 50.510278,13.167222222222 14.149722
42,Penig,"['Langenleuba-Oberhain', 'Penig', 'Mühlau', 'Hartmannsdorf', 'Chemnitz', 'Burkhardtsdorf', 'Meinersdorf', 'Thalheim', 'Dorfchemnitz', 'Zwönitz', 'Kühnheide', 'Grünhain', 'Beierfeld', 'Schwarzenberg', 'Johanngeorgenstadt', 'Taus', 'Pilsen', 'Tachau', 'Haid']",50.933611111111 50.964551 50.933611111111 50.9 50.88666666666667 50.833333333333 50.734722222222 50.7194 50.7025 50.663611111111 50.630277777778 50.6191 50.578611111111 50.561111111111 50.545277777778 50.433333333333 49.440605680467 49.741388888889 49.795398066933 49.711710233,12.705833333333 12.655031 12.705833333333 12.766666666667 12.799444444444445 12.916666666667 12.921944444444 12.8839 12.851666666667 12.836388888889 12.813333333333 12.8014 12.808888888889 12.787222222222 12.779166666667 12.713888888889 12.929798039263 13.3825 12.633709213451 12.775216037
43,Pausaer Straße,[],50.5275083,12.1082502
44,L.-F.-Schönherr-Straße,[],50.4928173,12.1055492
45,Hans-Sachs-Straße,"['Schönheide', 'Eibenstock', 'Wildenthal', 'Johanngeorgenstadt', 'Leitmeritz']",50.5149558 50.5 50.495555555556 50.4508 50.433333333333 50.53355947692,12.1272316 12.5333 12.5975 12.6361 12.713888888889 14.131899491403
46,Porschdorf,"['Bad Schandau', 'Königstein', 'Bielatal', 'Bahratal', 'Hellendorf', 'Oelsen']",50.9418 50.916666666667 50.918888888889 50.866666666667 50.83333 50.8307 50.8075,14.12687 14.15 14.071388888889 14.05 13.96667 13.9741 13.927777777777777
47,Rochlitz,"['Glauchau/Sachsen', 'Zwickau', 'Aue', 'Zwotental', 'Graslitz', 'Stankau']",51.048055555556 50.823333333333 50.718888888889 50.585277777778 50.3601 50.323842588747 49.5537,12.798611111111 12.544444444444 12.496111111111 12.700833333333 12.3646 12.517556147716 13.0692
48,Schönheide,"['Johanngeorgenstadt', 'Schönheide', 'Eibenstock', 'Wildenthal', 'Johanngeorgenstadt', 'Karlsbad', 'Tachau']",50.5 50.433333333333 50.5 50.495555555556 50.4508 50.433333333333 50.230555555556 49.795398066933,12.5333 12.713888888889 12.5333 12.5975 12.6361 12.713888888889 12.8725 12.633709213451
49,Seifhennersdorf,[],50.9333,14.6167
50,Siegmar-Schönau,"['Grüna', 'Hohenstein-Ernstthal']",50.8167 50.8125 50.8,12.8556 12.7944 12.716666666667
51,Taucha,"['Bennewitz', 'Wurzen', 'Oschatz', 'Sieglitz', 'Merschwitz', 'Glaubitz', 'Riesa', 'Dahlen', 'Meltewitz', 'Luppa', 'Mügeln', 'Bahnhof Gärtitz', 'Niederstriegis', 'Freiberg', 'Hilbersdorf', 'Oberbobritzsch', 'Hermsdorf/Erzgebirge', 'Hennersdorf', 'Sadisdorf', 'Altenberg', 'Geising', 'fürstenau']",51.38 51.359722222222 51.366666666667 51.300277777778 51.1695 51.2647 51.316666666667 51.308055555556 51.366666666667 51.3625 51.3342 51.233333333333 51.1428988 51.083611111111 50.911944444444 50.8597 50.8625 50.761111111111 50.8247 50.845469444444 50.764444444444 50.758055555556 50.7375,12.493611111111 12.711388888889 12.716666666667 13.107222222222 13.4192 13.4075 13.383333333333 13.293888888889 13 12.908888888888889 12.9586 13.05 13.1193907 13.149444444444 13.342777777778 12.9531 13.463055555556 13.629722222222 13.6253 13.635691666667 13.757777777778 13.791111111111 13.8319
52,Taucha,"['Bennewitz', 'Wurzen', 'Oschatz', 'Sieglitz', 'Merschwitz', 'Glaubitz', 'Riesa', 'Dahlen', 'Meltewitz', 'Luppa', 'Mügeln', 'Bahnhof Gärtitz', 'Niederstriegis', 'Freiberg', 'Hilbersdorf', 'Oberbobritzsch', 'Hermsdorf/Erzgebirge', 'Hennersdorf', 'Sadisdorf', 'Altenberg', 'Geising', 'fürstenau']",51.38 51.359722222222 51.366666666667 51.300277777778 51.1695 51.2647 51.316666666667 51.308055555556 51.366666666667 51.3625 51.3342 51.233333333333 51.1428988 51.083611111111 50.911944444444 50.8597 50.8625 50.761111111111 50.8247 50.845469444444 50.764444444444 50.758055555556 50.7375,12.493611111111 12.711388888889 12.716666666667 13.107222222222 13.4192 13.4075 13.383333333333 13.293888888889 13 12.908888888888889 12.9586 13.05 13.1193907 13.149444444444 13.342777777778 12.9531 13.463055555556 13.629722222222 13.6253 13.635691666667 13.757777777778 13.791111111111 13.8319
53,Torgau,[],51.560277777778,13.005555555556
54,Venusberg,"['Wilischthal', 'Annaberg/Erzgeb.', 'Komotau', 'Falkenau an der Eger', 'Pladen', 'Ober Birken', 'Pilsen', 'Tachau', 'Haid', 'Taus', 'Budweis', 'Mauthausen']",50.7 50.7258 50.58015 50.462777777778 50.181415762132 50.097018757911 49.840223429507 49.741388888889 49.795398066933 49.711710233 49.440605680467 48.974722222222 48.258888888889,13.016699 13.0563 13.00231 13.411111111111 12.640181474439 13.389770943654 13.355637956593 13.3825 12.633709213451 12.775216037 12.929798039263 14.474722222222 14.501111111111
55,Weißwasser/Oberlausitz,"['Senftenberg', 'Horneburg', 'Bergen-Belsen']",51.5 51.516666666667 53.5095 52.758899,14.633055555556 14.016666666667 9.5769 9.907099
56,Wilischthal,"['Zschopau', 'Wilischthal', 'Leitmeritz', 'Theresienstadt']",50.7258 50.75 50.7258 50.53355947692 50.510278,13.0563 13.066666666667 13.0563 14.131899491403 14.149722
57,Wolkenburg,"['Herrnsdorf', 'Uhlsdorf', 'Rüßdorf', 'Bernsdorf', 'Hohndorf', 'Stollberg', 'Zwönitz', 'Grünhain', 'Beierfeld', 'Schwarzenberg', 'Johanngeorgenstadt', 'Karlsbad', 'Waldsassen', 'Neustadt/Bayern', 'Weiden', 'Irrenlohe', 'Regensburg', 'Dachau']",50.8994219 50.895309 50.88418 50.784958 50.766666666667 50.746111111111 50.708333333333 50.630277777778 50.578611111111 50.561111111111 50.545277777778 50.433333333333 50.230555555556 50 49.732096 49.67353055555556 49.3627 49.016666666666666 48.2699,12.6655105 12.662392 12.65369 12.640405 12.666666666667 12.669166666667 12.778333333333 12.813333333333 12.808888888889 12.787222222222 12.779166666667 12.713888888889 12.8725 12.3 12.178127 12.16606111111111 12.1056 12.083333333333334 11.4683
58,Zittau,[],50.896111111111,14.807222222222
59,Zschachwitz,['Leitmeritz'],51 50.53355947692,13.8417 14.131899491403
60,Zschopau,"['Wilischthal', 'Annaberg/Erzgeb.', 'Theresienstadt']",50.75 50.7258 50.58015 50.510278,13.066666666667 13.0563 13.00231 14.149722
61,Zwickau,"['Lengenfeld/V.', 'Rodewisch', 'Wernesgrün', 'Rothenkirchen-Stützengrün', 'Neulehn', 'Schönheide', 'Eibenstock', 'Wildenthal', 'Johanngeorgenstadt', 'Karlsbad', 'Tachau']",50.718888888889 50.566666666667 50.5309 50.5300 50.5390 50.5222 50.5 50.495555555556 50.4508 50.433333333333 50.230555555556 49.795398066933,12.496111111111 12.366666666667 12.4049 12.4707 12.5026 12.5301 12.5333 12.5975 12.6361 12.713888888889 12.8725 12.633709213451
62,Altenburg,"['Münsa', 'Gössnitz', 'Meerane', 'Glauchau']",50.985 50.9843 50.8904 50.851944444444 50.823333333333,12.433333333333 12.4747 12.4311 12.463611111111 12.544444444444
63,Aschersleben,"['Alsleben', 'Könnern', 'Zörbig', 'Bitterfeld', 'Delitzsch', 'Eilenburg', 'Torgau', 'Falkenberg/Elster', 'Riesa', 'Leitmeritz']",51.75 51.701 51.669722222222 51.61666666666667 51.623888888889 51.526388888889 51.460833333333 51.560277777778 51.583055555556 51.308055555556 50.53355947692,11.466666666667 11.68 11.770833333333 12.116666666666667 12.33 12.3425 12.635833333333 13.005555555556 13.232222222222 13.293888888889 14.131899491403
64,Aslau,"['Bunzlau', 'Lauban', 'Görlitz', 'Königshain', 'Weißenberg', 'Bautzen', 'Crostwitz', 'Kamenz', 'Großenhain', 'Riesa', 'Oschatz', 'Wurzen', 'Eilenburg', 'Krostitz', 'Delitzsch', 'Brehna', 'Eisleben', 'Sangerhausen', 'Berga', 'Nordhausen', 'Bergen-Belsen']",51.316666666667 51.266666666667 51.116666666667 51.152777777778 51.179722222222 51.1977 51.181388888889 51.238252 51.266666666667 51.283333333333 51.308055555556 51.300277777778 51.366666666667 51.460833333333 51.46208 51.526388888889 51.55756 51.516666666667 51.466666666667 51.456666666667 51.505 52.758899,15.75 15.566666666667 15.3 14.987222222222 14.88 14.6605 14.423888888889 14.244133 14.1 13.55 13.293888888889 13.107222222222 12.716666666667 12.635833333333 12.4536 12.3425 12.21282 11.55 11.3 11.007777777778 10.791111111111 9.907099
65,Berga/Elster,"['Teichwolframsdorf', 'Gottesgrün', 'Reuth/Sachsen', 'Neumark', 'Hauptmannsgrün', 'Irfersgrün', 'Stangengrün', 'Obererinitz', 'Bärenwalde', 'Albernau', 'Bockau', 'Sosa', 'Lindenau', 'Steinheidel', 'Breitenbrunn', 'Rittersgrün', 'Goldenhöhe', 'Gottesgab', 'Schmiedeberg', 'Theresienstadt', 'Manetin']",50.75 50.720555555556 50.6725 50.671501 50.666666666667 50.627066 50.61237 50.5853 50.5719 50.5653 50.548888888889 50.5422 50.499166666667 50.5883 50.480277777778 50.474722222222 50.473333333333 50.43744 50.409844098288 50.8375 50.510278 49.991879087154,12.166666666667 12.246944444444 12.3025 12.320441 12.35 12.392591 12.427177 12.4494 12.485 12.5283 12.655833333333 12.6857 12.651944444444 12.604 12.722222222222 12.766666666667 12.801111111111 12.84497 12.924545971721 13.675277777778 14.149722 13.233260034019
