id,location,route,location_lat,location_lng
66,Bunzlau,"['Görlitz', 'Chemnitz', 'Leipzig Mitte', 'Halle', 'Mittelbau-Dora', 'Bergen-Belsen']",51.266666666667 51.152777777778 50.833333333333 51.34 51.48277777777778 51.535524 52.758899,15.566666666667 14.987222222222 12.916666666667 12.375 11.969722222222222 10.748665 9.907099
67,Bunzlau,"['Görlitz', 'Bautzen', 'Kamenz', 'Großenhain', 'Riesa', 'Oschatz', 'Wurzen', 'Eilenburg', 'Halle', 'Eisleben', 'Nordhausen', 'Bergen-Belsen']",51.266666666667 51.152777777778 51.181388888889 51.266666666667 51.283333333333 51.308055555556 51.300277777778 51.366666666667 51.460833333333 51.48277777777778 51.516666666667 51.505 52.758899,15.566666666667 14.987222222222 14.423888888889 14.1 13.55 13.293888888889 13.107222222222 12.716666666667 12.635833333333 11.969722222222222 11.55 10.791111111111 9.907099
68,Christianstadt,"['Bad Muskau', 'Pirna', 'Liebstadt', 'Zinnwald', 'Brüx', 'Komotau', 'Karlsbad', 'Eger', 'Plauen (Vogtland) Oberer Bahnhof', 'Gera', 'Leipzig Hauptbahnhof', 'Celle', 'Bergen-Belsen']",51.783298 51.549722222222 50.962222222222 50.864722222222 50.736388888889 50.503055555556 50.462777777778 50.230555555556 50.079759165169 50.5053 50.87818 51.34527777777778 52.625555555556 52.758899,15.25 14.72 13.940277777778 13.855555555556 13.765 13.636666666667 13.411111111111 12.8725 12.373995588434 12.13 12.08242 12.382222222222222 10.0825 9.907099
69,Dessau,"['Torgau', 'Leitmeritz']",51.834166666667 51.560277777778 50.53355947692,12.246111111111 13.005555555556 14.131899491403
70,Gebhardtsdorf,"['Raspenau', 'Reichenberg', 'Kratzau', 'Grottau', 'Zittau', 'Großschönau', 'Sankt Georgenthal']",50.97833333 50.904211053115 50.7699972 50.81698593906 50.85285295319 50.896111111111 50.896388888889 50.874517890076,15.34694444 15.114763824276 15.0584492 14.968948444345 14.844661931528 14.807222222222 14.662222222222 14.575194251298
71,Schlesiersee,"['Grünberg', 'Bad Muskau', 'Weißwasser/Oberlausitz', 'Nochten', 'Salzenforst', 'Dresden', 'Freiberg', 'Chemnitz', 'Oelsnitz/Vogtland', 'Theuma', 'Helmbrechts', 'Zwodau', 'Wallern', 'Prachatitz']",51.8833 51.939722222222 51.549722222222 51.5 51.431944444444 51.1975 51.05 50.911944444444 50.833333333333 50.416666666667 50.47 50.23677305555555 50.192347393565 48.9088 49.0109,16.066699 15.505 14.72 14.633055555556 14.6 14.371388888889 13.74 13.342777777778 12.916666666667 12.166666666667 12.2225 11.715915 12.625320911756 13.8866 14.0000
72,Hadmersleben,"['Aken/Elbe', 'Lobositz']",51.991944444444 51.8539 50.515121498998,11.301111111111 12.0431 14.051126534986
73,Halbau,"['Rothenburg/Oberlausitz', 'Niesky', 'Bautzen', 'Kamenz', 'Großenhain', 'Riesa', 'Wermsdorf', 'Dehnitz', 'Bennewitz', 'Bergen-Belsen']",51.501944444444 51.333055555556 51.289722222222 51.181388888889 51.266666666667 51.283333333333 51.308055555556 51.283333333333 51.3519771 51.359722222222 52.758899,15.205833333333 14.966666666667 14.83 14.423888888889 14.1 13.55 13.293888888889 12.95 12.7278574 12.711388888889 9.907099
74,Halberstadt,"['Könnern', 'Zörbig', 'Bitterfeld', 'Bad Düben', 'Pressel', 'Langenreichenbach', 'Luppa', 'Riesa', 'Deutschenbora', 'Freiberg', 'Brand-Erbisdorf', 'Langenau', 'Borstendorf', 'Grünhainichen', 'Klaffenbach', 'Neukirchen/Erzgeb.', 'Mittelbach', 'Oberlungwitz']",51.895833333333 51.669722222222 51.61666666666667 51.623888888889 51.591944444444 51.579 51.4869 51.3342 51.308055555556 51.0596 50.911944444444 50.868888888889 50.8361 50.77323 50.7675 50.7611 50.779444444444 50.8 50.783333333333,11.046666666667 11.770833333333 12.116666666666667 12.33 12.585277777778 12.7043 12.9038 12.9586 13.293888888889 13.361 13.342777777778 13.321944444444 13.2972 13.17918 13.153888888889 12.9139 12.866944444444 12.7978 12.716666666667
75,Hartmannsdorf/M.,"['Seidenberg', 'Zittau', 'Spitzcunnersdorf', 'Seifhennersdorf', 'Löbau', 'Bautzen', 'Kamenz', 'Königsbrück', 'Glauschnitz', 'Sacka', 'Thiendorf', 'Schönfeld/R.', 'Quersa', 'Adelsdorf', 'Großenhain', 'Wildenhain/Sachsen', 'Glaubitz', 'Zeithain', 'Röderau', 'Lessa', 'Bobersen', 'Gohlis', 'Kleinzschepa', 'Lorenzkirch', 'Strehla', 'Oppitzsch', 'Riesa', 'Gröba', 'Merzdorf', 'Canitz', 'Bornitz', 'Lonnewitz', 'Oschatz', 'Lampersdorf', 'Hubertusburg', 'Wermsdorf', 'Mutzschen', 'Pegau', 'Weißenfels', 'Naumburg', 'Bad Kösen', 'Bad Sulza', 'Apolda', 'Weimar', 'Buchenwald']",51.00479 51.02615 50.896111111111 50.9375 50.9333 51.094444444444 51.181388888889 51.266666666667 51.26451 51.267677222222 51.283611111111 51.3 51.303888888889 51.303471444975 51.319373 51.283333333333 51.3062 51.316666666667 51.333333333333 51.31916667 51.3207 51.32416667 51.34638889 51.3499 51.3549 51.353055555556 51.353055555556 51.308055555556 51.32194444 51.31055 51.3133 51.3044 51.2877 51.300277777778 51.2833 51.2774 51.283333333333 51.266667 51.166666666667 51.2 51.152095 51.135277777778 51.0889 51.024722222222 50.983333333333 51.021198,15.24868 15.062383333333 14.807222222222 14.684722222222 14.6167 14.666666666667 14.423888888889 14.1 13.9054 13.847040277778 13.793161111111 13.75 13.707777777778 13.64239167982 13.582835 13.55 13.4725 13.383333333333 13.35 13.32166667 13.3042 13.29944444 13.29 13.2647 13.2427 13.225833333333 13.225833333333 13.293888888889 13.27638889 13.25312 13.2206 13.1806 13.1398 13.107222222222 13.0398 12.9398 12.95 12.9 12.25 11.966666666667 11.809819 11.720555555556 11.6247 11.513888888889 11.316666666667 11.248999
76,Harzungen,"['Großenhain', 'folbern', 'Radeburg', 'Radeberg', 'Stolpen', 'Sebnitz', 'Hinterhermsdorf', 'Schönlinde', 'Rabstein']",51.5564 51.283333333333 51.30005 51.2130 51.116666666667 51.048888888889 50.966666666667 50.923611111111 50.913102896533 50.8007838,10.8039 13.55 13.58939 13.7233 13.916666666667 14.082777777778 14.283333333333 14.358333333333 14.510107117856 14.386125
77,Kittlitztreben,"['Bunzlau', 'Görlitz', 'Königshain', 'Weißenberg', 'Bautzen', 'Pulsnitz', 'Langebrück', 'Elbebrücke Dresden', 'Weistropp', 'Hühndorf', 'Blankenstein', 'Neukirchen', 'Krummenhennersdorf', 'Langhennersdorf', 'Bockendorf', 'flöha', 'Erdmannsdorf', 'Dittmannsdorf', 'Gornau', 'Weißbach/Erzgeb.', 'Kemtau', 'Burkhardtsdorf', 'Adorf/Erzgebirge', 'Erlbach-Kirchberg', 'Lichtenstein/Sa.', 'Zwickau', 'Königswalde', 'Lauterbach', 'Mannichswalde', 'Kauern', 'Zwötzen', 'Oberröppisch', 'Weißig', 'Markersdorf/T.', 'Saara', 'Eineborn', 'Ottendorf', 'Altendorf', 'Milda', 'Buchenwald']",51.38442 51.266666666667 51.152777777778 51.179722222222 51.1977 51.181388888889 51.181666666667 51.1308 51.0733 51.0859 51.0694 51.0389 51.03124 50.979166666667 50.943232 50.927132 50.855833333333 50.821 50.7799 50.758611111111 50.7349 50.738888888889 50.734722222222 50.7564 50.760833333333 50.756388888889 50.718888888889 50.7492 50.7786 50.806388888889 50.844592 50.8517 50.8347 50.8376 50.8363 50.85 50.830555555556 50.827012 50.8375 50.855806 51.021198,15.60238 15.566666666667 14.987222222222 14.88 14.6605 14.423888888889 14.013055555556 13.8394 13.6728 13.5850 13.5708 13.435 13.39351 13.3625 13.249103 13.162151 13.071388888889 13.0767 13.0497 13.036944444444 13.0135 12.960555555556 12.921944444444 12.8768 12.752777777778 12.631666666667 12.496111111111 12.4156 12.4015 12.31 12.145017 12.0894 12.0675 12.0249 12.0003 11.966666666667 11.855277777778 11.822534 11.5744 11.463175 11.248999
78,Langenstein-Zwieberge,"['Bitterfeld', 'Krina', 'Söllichau', 'Trossin', 'Dommitzsch', 'Prettin', 'Wittenberg/Elbe']",51.8444 51.623888888889 51.649722222222 51.633333333333 51.616666666667 51.639444444444 51.66078 51.8671,11.0233 12.33 12.483055555556 12.633333333333 12.816666666667 12.8825 12.92669 12.6484
79,Lichtenburg,['Hof/S.'],51.662467 51.2402,12.932142 13.1891
80,Neusalz,"['Christianstadt', 'Bad Muskau', 'Nochten', 'Weißwasser/Oberlausitz', 'Bautzen', 'Bischofswerda', 'Helmsdorf', 'Pirna', 'Zehista', 'Karlsbad', 'flossenbürg', 'Leipzig Hauptbahnhof', 'Bergen-Belsen']",51.8 51.783298 51.549722222222 51.431944444444 51.5 51.181388888889 51.1275 51.0389 50.962222222222 50.940277777778 50.230555555556 49.735698 51.34527777777778 52.758899,15.716666666667 15.25 14.72 14.6 14.633055555556 14.423888888889 14.179722222222 14.0375 13.940277777778 13.926388888889 12.8725 12.3569 12.382222222222222 9.907099
81,Schwarzheide,"['Kamenz', 'Bischofswerda', 'Neustadt/Sachsen', 'Rugiswalde', 'Sebnitz', 'Saupsdorf', 'Hinterhermsdorf', 'Schönlinde', 'Warnsdorf', 'Leipa', 'Leitmeritz', 'Theresienstadt']",51.485803 51.266666666667 51.1275 51.023888888889 51.000833 50.966666666667 50.940555555556 50.923611111111 50.913102896533 50.911612411446 50.68558429129 50.53355947692 50.510278,13.884804 14.1 14.179722222222 14.216666666667 14.256944 14.283333333333 14.331111111111 14.358333333333 14.510107117856 14.618353683386 14.53774710235 14.131899491403 14.149722
82,Sonneberg,"['Neuhaus am Rennweg', 'Lehesten', 'Sonneberg', 'Kronach', 'Lobenstein', 'Saalburg', 'Mehltheuer/Sachsen', 'Syrau', 'Neundorf (Plauen)', 'Kürbitz', 'Meßbach', 'Pirk', 'Bobenneukirchen', 'Bergen/Adorf', 'Hermsgrün', 'Leubetha', 'Wohlbach', 'Gunzen', 'Rautenkranz', 'Zwota', 'Klingenthal', 'Tannenbergsthal', 'Rautenkranz', 'Carlsfeld']",50.35 50.5059 50.4743 50.35 50.241111111111 50.45223 50.5025 50.5438 50.543055555556 50.4933 50.4614 50.4579 50.423887 50.3775 50.337905 50.3469 50.349 50.451944444444 50.355 50.4603 50.35 50.366944444444 50.433333333333 50.4603 50.4333,11.166666666666666 11.1423 11.4522 11.166666666666666 11.328055555556 11.6393 11.7336 12.0375 12.076111111111 12.09 12.0753 12.1111 12.066091 12.0605 12.189432 12.2876 12.246 12.481388888889 12.3344 12.4944 12.416666666667 12.468611111111 12.466666666667 12.4944 12.5833
83,Neu Staßfurt,"['Warmsdorf', 'Dalena', 'Glebitzsch', 'Zaasch', 'Schenkenberg', 'Delitzsch', 'Lindenhayn', 'Hohenprießnitz', 'Niederglauba', 'Wellaune', 'Bad Düben', 'Görschlitz', 'Kossa', 'Authausen', 'Pressel', 'Wildenhain', 'Mockrehna', 'Oberaudenhain', 'Probsthain', 'Schildau', 'Sitzenroda', 'Lausa', 'Bockwitz', 'Schöna', 'Cavertitz', 'Laas', 'Schmorkau', 'Lonnewitz', 'Bornitz', 'Reppen', 'Raitzen', 'Hof/S.', 'Staucha', 'Altsattel', 'Lommatzsch', 'Großkagen', 'Löthain', 'Riemsdorf', 'Ullendorf', 'Röhrsdorf', 'Sora', 'Wilsdruff', 'Grumbach', 'fördergersdorf', 'Kurort Hartha', 'Grillenburg', 'Klingenberg', 'Obercolmnitz', 'Pretzschendorf', 'Oberbobritzsch', 'Friedersdorf/P.', 'Burkersdorf', 'Nassau', 'Clausnitz', 'Friedebach', 'Sayda', 'Dittersbach', 'Heidersdorf', 'Oberneuschöneberg', 'Olbernhau', 'Ansprung', 'Zöblitz', 'Marienberg', 'Mildenau', 'Annaberg/Erzgeb.']",51.866699 51.777799 51.64612 51.6 51.5518 51.54 51.526388888889 51.5171 51.532669444444 51.557856 51.571247222222 51.591944444444 51.578 51.616666666667 51.5917 51.579 51.5389 51.50757 51.492785582873 51.4653 51.45 51.450833333333 51.4333 51.42222222 51.39194444444445 51.38333055555555 51.36585 51.3082 51.2877 51.3044 51.2699 51.2601621 51.2402 51.222778 51.214985 51.2 51.1754 51.14207 51.1139 51.1064 51.0931 51.0789 51.052222222222 51.031388888889 50.9961 50.9803 50.9528 50.9019 50.9086 50.866666666667 50.8625 50.8444 50.8164 50.766666666667 50.739722222222 50.7258 50.7258 50.6753283 50.683333333333 50.649658333333 50.666666666667 50.6477 50.6575 50.650833333333 50.599722222222 50.58015,11.583299 11.575903 11.84203 12.199722222222 12.2733 12.31333333 12.3425 12.4973 12.597197222222 12.574054 12.55635 12.585277777778 12.6499 12.683333333333 12.6789 12.7043 12.8028 12.81418 12.831156657334 12.8969 12.933333333333 12.970833333333 13.0561 13.09361111 13.091388888888888 13.133330555555556 13.1461 13.144 13.1398 13.1806 13.1971 13.1876528 13.1891 13.220556 13.260419 13.3 13.3689 13.41058 13.4833 13.4869 13.5125 13.5 13.538333333333 13.548055555556 13.5397 13.5444 13.5072 13.5441 13.4964 13.516666666667 13.463055555556 13.5214 13.4864 13.533333333333 13.492222222222 13.4511 13.4511 13.4473569 13.4 13.380183333333 13.333333333333 13.2578 13.231666666667 13.164722222222 13.068888888889 13.00231
84,Artern,['Rehmsdorf'],51.36666666666667 51.058333333333,11.3 12.215555555556
85,Brieg,"['Hirschberg', 'Görlitz', 'Dresden', 'Pirna', 'Tetschen', 'Reichenberg', 'Aussig', 'Teplitz-Schönau', 'Komotau', 'Annaberg/Erzgeb.', 'Zwickau', 'Zeitz', 'Halle', 'Nordhausen']",50.866666666667 50.9 51.152777777778 51.05 50.962222222222 50.773611111111 50.7699972 50.659166666667 50.633333333333 50.462777777778 50.58015 50.718888888889 51.047777777778 51.48277777777778 51.505,17.483333333333 15.733333333333 14.987222222222 13.74 13.940277777778 14.196111111111 15.0584492 14.041666666667 13.816666666667 13.411111111111 13.00231 12.496111111111 12.138333333333 11.969722222222222 10.791111111111
86,Duderstadt,"['Seesen', 'Magdeburg', 'Leipzig Hauptbahnhof', 'Dresden', 'Bodenbach', 'Lobositz', 'Theresienstadt']",51.5125 51.8875 52.13166666666667 51.34527777777778 51.05 50.7744 50.515121498998 50.510278,10.259722222222 10.1739 11.639166666666666 12.382222222222222 13.74 14.1989 14.051126534986 14.149722
87,Großkoschen,"['Buchenwald', 'flossenbürg', 'Dachau']",51.495 51.021198 49.735698 48.2699,14.05944444 11.248999 12.3569 11.4683
88,Großwerther,"['Herzberg am Harz', 'Braunschweig', 'Magdeburg', 'Riesa', 'Dresden', 'Prag', 'Linz', 'Mauthausen', 'Gunskirchen']",51.4686 51.655555555556 52.269166666667 52.13166666666667 51.308055555556 51.05 50.083333333333 48.3 48.258888888889 48.112506,10.7439 10.339444444444 10.521111111111 11.639166666666666 13.293888888889 13.74 14.416666666667 14.283333333333 14.501111111111 13.940330
89,Meuselwitz,"['Altenburg', 'Niedersteinbach', 'Penig', 'Chemnitz', 'Graslitz', 'Theresienstadt']",51.05 50.985 50.9431 50.933611111111 50.833333333333 50.323842588747 50.510278,12.3 12.433333333333 12.6511 12.705833333333 12.916666666667 12.517556147716 14.149722
90,Morchenstern,"['Nordhausen', 'Großwerther']",50.738254442679 51.505 51.4686,15.246500406797 10.791111111111 10.7439
91,Raguhn,['Theresienstadt'],51.716701 50.510278,12.3 14.149722
92,Reichenau,"['Zittau', 'Dresden', 'flößberg', 'Buchenwald']",50.7931 50.896111111111 51.05 51.1281 51.021198,13.575 14.807222222222 13.74 12.5825 11.248999
93,Schlieben,"['Falkenberg/Elster', 'Leipzig Hauptbahnhof', 'Halle', 'Leipzig Hauptbahnhof', 'Chemnitz', 'Dresden', 'Aussig', 'Maria Ratschitz', 'Theresienstadt']",51.73333333 51.583055555556 51.34527777777778 51.48277777777778 51.34527777777778 50.833333333333 51.05 50.659166666667 50.574127676768 50.510278,13.38333333 13.232222222222 12.382222222222222 11.969722222222222 12.382222222222222 12.916666666667 13.74 14.041666666667 13.665087330687 14.149722
94,Rehmsdorf,"['Altenburg', 'Gößnitz', 'Chemnitz', 'flöha', 'Pockau-Lengefeld', 'Marienberg', 'Reitzenhain', 'Leitmeritz', 'Theresienstadt']",51.058333333333 50.985 50.890277777778 50.833333333333 50.855833333333 50.7167 50.650833333333 50.5611 50.53355947692 50.510278,12.215555555556 12.433333333333 12.432777777778 12.916666666667 13.071388888889 13.1833 13.164722222222 13.2194 14.131899491403 14.149722
95,Wernigerode,"['Calbe', 'Dresden', 'Pirna', 'Leitmeritz']",51.835 51.903333333333 51.05 50.962222222222 50.53355947692,10.785277777778 11.775833333333 13.74 13.940277777778 14.131899491403
96,Wolfen,"['Leipzig', 'Dresden', 'Pirna', 'Auperschien']",51.666698 51.666698 51.05 50.962222222222 50.6158,12.2833 12.2833 13.74 13.940277777778 13.8744
97,Auschwitz,"['Eger', 'Adorf/Erzgebirge', 'Plauen (Vogtland) Oberer Bahnhof', 'Werdau', 'Weimar', 'Buchenwald']",50.0262 50.079759165169 50.7564 50.5053 50.733333333333 50.983333333333 51.021198,19.2041 12.373995588434 12.8768 12.13 12.383333333333 11.316666666667 11.248999
98,Auschwitz-Monowitz,"['Gleiwitz', 'Tetschen', 'Dresden', 'Sachsenhausen']",50.0355 50.3011 50.773611111111 51.05 51.05,19.278 18.6498 14.196111111111 13.74 13.74
99,Auschwitz,"['Gleiwitz', 'Mährisch-Ostrau', 'Zlin', 'Ludenberg', 'Wien', 'Mauthausen', 'Regensburg', 'Nürnberg', 'Gutenfürst', 'Plauen', 'Zwickau', 'Chemnitz', 'Leipzig Hauptbahnhof', 'Halle', 'Weimar', 'Mittelbau-Dora']",50.0262 50.3011 49.8418 49.233055555556 48.7531 48.208333333333336 48.258888888889 49.016666666666666 49.45388888888889 50.419082 50.5053 50.718888888889 50.833333333333 51.34527777777778 51.48277777777778 50.983333333333 51.535524,19.2041 18.6498 18.2916 17.666944444444 16.8825 16.3725 14.501111111111 12.083333333333334 11.0775 11.964484 12.13 12.496111111111 12.916666666667 12.382222222222222 11.969722222222222 11.316666666667 10.748665
100,Bergen-Belsen,"['Berlin', 'Lübbenau', 'Bernsdorf/Oberlausitz', 'Ebersbach/Oberlausitz', 'Georgswalde', 'Theresienstadt']",52.758899 52.516666666667 51.866666666667 51.366666666667 51.008333333333 50.99520860538 50.510278,9.907099 13.383333333333 13.966666666667 14.066666666667 14.585277777778 14.569219958203 14.149722
101,Bergen-Belsen,"['Berlin', 'Lübbenau', 'Senftenberg', 'Finsterwalde', 'Tröbitz/Elster']",52.758899 52.516666666667 51.866666666667 51.516666666667 51.6303 51.6,9.907099 13.383333333333 13.966666666667 14.016666666667 13.7085 13.433055555556
102,Buchenwald,"['Weimar', 'Zeitz', 'Meuselwitz', 'Pegau', 'Leipzig Hauptbahnhof', 'Riesa', 'Dresden', 'Heidenau', 'Bodenbach', 'Aussig', 'Leitmeritz']",51.021198 50.983333333333 51.047777777778 51.05 51.166666666667 51.34527777777778 51.308055555556 51.05 50.981111 50.7744 50.659166666667 50.53355947692,11.248999 11.316666666667 12.138333333333 12.3 12.25 12.382222222222222 13.293888888889 13.74 13.858056 14.1989 14.041666666667 14.131899491403
103,Buchenwald,"['Weimar', 'Meerane', 'Zwickau', 'Lengenfeld/V.', 'Auerbach/V.', 'Falkenstein/V.', 'Tachau', 'flossenbürg']",51.021198 50.983333333333 50.851944444444 50.718888888889 50.566666666667 50.509444444444 50.466666666667 49.795398066933 49.735698,11.248999 11.316666666667 12.463611111111 12.496111111111 12.366666666667 12.4 12.366666666667 12.633709213451 12.3569
104,Buchenwald,"['Weimar', 'Weißenfels', 'Leipzig Hauptbahnhof', 'Chemnitz', 'Komotau', 'Kaaden', 'Pilsen', 'Taus', 'Nammering', 'Dachau']",51.021198 50.983333333333 51.2 51.34527777777778 50.833333333333 50.462777777778 50.37608553522 49.741388888889 49.440605680467 48.7045 48.2699,11.248999 11.316666666667 11.966666666667 12.382222222222222 12.916666666667 13.411111111111 13.271397346217 13.3825 12.929798039263 13.3094 11.4683
105,Buchenwald,"['Weimar', 'Zeitz', 'Glauchau/Sachsen', 'Chemnitz', 'flöha', 'Reitzenhain', 'Tachau', 'flossenbürg']",51.021198 50.983333333333 51.047777777778 50.823333333333 50.833333333333 50.855833333333 50.5611 49.795398066933 49.735698,11.248999 11.316666666667 12.138333333333 12.544444444444 12.916666666667 13.071388888889 13.2194 12.633709213451 12.3569
106,Groß-Rosen,"['Görlitz', 'Dresden', 'Aussig', 'Leitmeritz']",50.998199 51.152777777778 51.05 50.659166666667 50.53355947692,16.2777 14.987222222222 13.74 14.041666666667 14.131899491403
107,Groß-Rosen,"['Görlitz', 'Dresden', 'Leipzig Hauptbahnhof', 'Hof/B.']",50.998199 51.152777777778 51.05 51.34527777777778 50.31666666666667,16.2777 14.987222222222 13.74 12.382222222222222 11.916666666666666
108,Groß-Rosen,"['Hirschberg', 'Görlitz', 'Dresden', 'Leipzig Hauptbahnhof', 'Weimar', 'Nürnberg', 'Mauthausen', 'Bergen-Belsen']",50.998199 50.9 51.152777777778 51.05 51.34527777777778 50.983333333333 49.45388888888889 48.258888888889 52.758899,16.2777 15.733333333333 14.987222222222 13.74 12.382222222222222 11.316666666667 11.0775 14.501111111111 9.907099
